"s","design_x","design_y","description"
,5,75,Crossable
,5,76,Crossable
,5,77,Crossable
,5,78,Crossable
,5,79,Crossable
,5,80,Crossable
,5,81,Crossable
,5,82,Crossable
,5,83,Crossable
,5,84,Crossable
,5,85,Crossable
,5,86,Crossable
,5,87,Crossable
,5,88,Crossable
,5,89,Crossable
,5,90,Crossable
,5,91,Crossable
,5,92,Crossable
,5,93,Crossable
,5,94,Crossable
,5,95,Crossable
,5,96,Crossable
,5,97,Crossable
,5,98,Crossable
,5,99,Crossable
,5,100,Crossable
,5,101,Crossable
,5,102,Crossable
,5,103,Crossable
,5,104,Crossable
,5,105,Crossable
,5,106,Crossable
,5,107,Wall
,5,108,Wall
,6,1,Wall
,6,2,Wall
,6,3,Crossable
,6,4,Crossable
,6,5,Crossable
,6,6,Crossable
,6,7,Crossable
,6,8,Crossable
,6,9,Crossable
,6,10,Crossable
,6,11,Crossable
,6,12,Crossable
,6,13,Crossable
,6,14,Crossable
,6,15,Crossable
,6,16,Crossable
,6,17,Crossable
,6,18,Crossable
,6,19,Crossable
,6,20,Crossable
,6,21,Crossable
,6,22,Crossable
,6,23,Crossable
,6,24,Crossable
,6,25,Crossable
,6,26,Crossable
,6,27,Crossable
,6,28,Crossable
,6,29,Crossable
,6,30,Crossable
,6,31,Crossable
,6,32,Crossable
,6,33,Crossable
,6,34,Crossable
,6,35,Crossable
,6,36,Crossable
,6,37,Crossable
,6,38,Crossable
,6,39,Crossable
,6,40,Crossable
,6,41,Crossable
,6,42,Crossable
,6,43,Crossable
,6,44,Crossable
,6,45,Crossable
,6,46,Crossable
,6,47,Crossable
,6,48,Crossable
,6,49,Crossable
,6,50,Crossable
,6,51,Crossable
,6,52,Crossable
,6,53,Crossable
,6,54,Crossable
,6,55,Crossable
,6,56,Wall
,6,57,Wall
,6,58,Crossable
,6,59,Crossable
,6,60,Crossable
,6,61,Crossable
,6,62,Crossable
,6,63,Crossable
,6,64,Crossable
,6,65,Crossable
,6,66,Crossable
,6,67,Crossable
,6,68,Crossable
,6,69,Crossable
,6,70,Crossable
,6,71,Crossable
,6,72,Wall
,6,73,Wall
,6,74,Crossable
,6,75,Crossable
,6,76,Crossable
,6,77,Crossable
,6,78,Crossable
,6,79,Crossable
,6,80,Crossable
,6,81,Crossable
,6,82,Crossable
,6,83,Crossable
,6,84,Crossable
,6,85,Crossable
,6,86,Crossable
,6,87,Crossable
,6,88,Crossable
,6,89,Crossable
,6,90,Crossable
,6,91,Crossable
,6,92,Crossable
,6,93,Crossable
,6,94,Crossable
,6,95,Crossable
,6,96,Crossable
,6,97,Crossable
,6,98,Crossable
,6,99,Crossable
,6,100,Crossable
,6,101,Crossable
,6,102,Crossable
,6,103,Crossable
,6,104,Crossable
,6,105,Crossable
,6,106,Crossable
,6,107,Wall
,6,108,Wall
,7,1,Wall
,7,2,Wall
,7,3,Crossable
,7,4,Crossable
,7,5,Crossable
,7,6,Crossable
,7,7,Crossable
,7,8,Crossable
,7,9,Crossable
,7,10,Crossable
,7,11,Crossable
,7,12,Crossable
,7,13,Crossable
,7,14,Crossable
,7,15,Crossable
,7,16,Crossable
,7,17,Crossable
,7,18,Crossable
,7,19,Crossable
,7,20,Crossable
,7,21,Crossable
,7,22,Crossable
,7,23,Crossable
,7,24,Crossable
,7,25,Crossable
,7,26,Crossable
,7,27,Crossable
,7,28,Crossable
,7,29,Crossable
,7,30,Crossable
,7,31,Crossable
,7,32,Crossable
,7,33,Crossable
,7,34,Crossable
,7,35,Crossable
,7,36,Crossable
,7,37,Crossable
,7,38,Crossable
,7,39,Crossable
,7,40,Crossable
,7,41,Crossable
,7,42,Crossable
,7,43,Crossable
,7,44,Crossable
,7,45,Crossable
,7,46,Crossable
,7,47,Crossable
,7,48,Crossable
,7,49,Crossable
,7,50,Crossable
,7,51,Crossable
,7,52,Crossable
,7,53,Crossable
,7,54,Crossable
,7,55,Crossable
,7,56,Crossable
,7,57,Crossable
,7,58,Crossable
,7,59,Crossable
,7,60,Crossable
,7,61,Crossable
,7,62,Crossable
,7,63,Crossable
,7,64,Crossable
,7,65,Crossable
,7,66,Crossable
,7,67,Crossable
,7,68,Crossable
,7,69,Crossable
,7,70,Crossable
,7,71,Crossable
,7,72,Crossable
,7,73,Crossable
,7,74,Crossable
,7,75,Crossable
,7,76,Crossable
,7,77,Crossable
,7,78,Crossable
,7,79,Crossable
,7,80,Crossable
,7,81,Crossable
,7,82,Crossable
,7,83,Crossable
,7,84,Crossable
,7,85,Crossable
,7,86,Crossable
,7,87,Crossable
,7,88,Crossable
,7,89,Crossable
,7,90,Crossable
,7,91,Crossable
,7,92,Crossable
,7,93,Crossable
,7,94,Crossable
,7,95,Crossable
,7,96,Crossable
,7,97,Crossable
,7,98,Crossable
,7,99,Crossable
,7,100,Crossable
,7,101,Crossable
,7,102,Crossable
,7,103,Crossable
,7,104,Shelf
,7,105,Shelf
,7,106,Shelf
,7,107,Wall
,7,108,Wall
,8,1,Wall
,8,2,Wall
,8,3,Crossable
,8,4,Crossable
,8,5,Crossable
,8,6,Crossable
,8,7,Crossable
,8,8,Crossable
,8,9,Crossable
,8,10,Crossable
,8,11,Crossable
,8,12,Crossable
,8,13,Crossable
,8,14,Crossable
,8,15,Crossable
,8,16,Crossable
,8,17,Crossable
,8,18,Crossable
,8,19,Crossable
,8,20,Crossable
,8,21,Crossable
,8,22,Crossable
,8,23,Crossable
,8,24,Crossable
,8,25,Crossable
,8,26,Crossable
,8,27,Crossable
,8,28,Crossable
,8,29,Crossable
,8,30,Crossable
,8,31,Crossable
,8,32,Crossable
,8,33,Crossable
,8,34,Crossable
,8,35,Crossable
,8,36,Crossable
,8,37,Crossable
,8,38,Crossable
,8,39,Crossable
,8,40,Crossable
,8,41,Crossable
,8,42,Crossable
,8,43,Crossable
,8,44,Crossable
,8,45,Crossable
,8,46,Crossable
,8,47,Crossable
,8,48,Crossable
,8,49,Crossable
,8,50,Crossable
,8,51,Crossable
,8,52,Crossable
,8,53,Crossable
,8,54,Crossable
,8,55,Crossable
,8,56,Crossable
,8,57,Crossable
,8,58,Crossable
,8,59,Crossable
,8,60,Crossable
,8,61,Crossable
,8,62,Crossable
,8,63,Crossable
,8,64,Crossable
,8,65,Crossable
,8,66,Crossable
,8,67,Crossable
,8,68,Crossable
,8,69,Crossable
,8,70,Crossable
,8,71,Crossable
,8,72,Crossable
,8,73,Crossable
,8,74,Crossable
,8,75,Crossable
,8,76,Crossable
,8,77,Crossable
,8,78,Crossable
